case_id,group,security_name,test_issue,etf,sic,state,annual_form,recent_forms,exchange,mapping_status,cik,ticker,company_name,expected_status,expected_reason,expected_included,expected_confidence,review_status
test01,test,Test Corp Common Stock,true,false,3571,DE,10-K,10-Q,Nasdaq,current,0000000001,TST01,Test Corp,excluded,test_issue,false,high,approved
test02,test,Test Corp Common Stock,true,false,3571,DE,10-K,10-Q,Nasdaq,current,0000000002,TST02,Test Corp,excluded,test_issue,false,high,approved
test03,test,Test Corp Common Stock,true,false,3571,DE,10-K,10-Q,Nasdaq,current,0000000003,TST03,Test Corp,excluded,test_issue,false,high,approved
test04,test,Test Corp Common Stock,true,false,3571,DE,10-K,10-Q,Nasdaq,current,0000000004,TST04,Test Corp,excluded,test_issue,false,high,approved
test05,test,Test Corp Common Stock,true,false,3571,DE,10-K,10-Q,Nasdaq,current,0000000005,TST05,Test Corp,excluded,test_issue,false,high,approved
test06,test,Test Corp Common Stock,true,false,3571,DE,10-K,10-Q,Nasdaq,current,0000000006,TST06,Test Corp,excluded,test_issue,false,high,approved
test07,test,Test Corp Common Stock,true,false,3571,DE,10-K,10-Q,Nasdaq,current,0000000007,TST07,Test Corp,excluded,test_issue,false,high,approved
test08,test,Test Corp Common Stock,true,false,3571,DE,10-K,10-Q,Nasdaq,current,0000000008,TST08,Test Corp,excluded,test_issue,false,high,approved
test09,test,Test Corp Common Stock,true,false,3571,DE,10-K,10-Q,Nasdaq,current,0000000009,TST09,Test Corp,excluded,test_issue,false,high,approved
test10,test,Test Corp Common Stock,true,false,3571,DE,10-K,10-Q,Nasdaq,current,0000000010,TST10,Test Corp,excluded,test_issue,false,high,approved
test11,test,Test Corp Common Stock,true,false,3571,DE,10-K,10-Q,Nasdaq,current,0000000011,TST11,Test Corp,excluded,test_issue,false,high,approved
etf01,etf,Fund One Common Stock,false,true,3571,DE,10-K,10-Q,Nasdaq,current,0000000012,ETF01,Fund One,excluded,fund_or_etf,false,high,approved
etf02,etf,Fund Two Common Stock,false,true,3571,DE,10-K,10-Q,Nasdaq,current,0000000013,ETF02,Fund Two,excluded,fund_or_etf,false,high,approved
etf03,etf,Fund Three Common Stock,false,true,3571,DE,10-K,10-Q,Nasdaq,current,0000000014,ETF03,Fund Three,excluded,fund_or_etf,false,high,approved
etf04,etf,Fund Four Common Stock,false,true,3571,DE,10-K,10-Q,Nasdaq,current,0000000015,ETF04,Fund Four,excluded,fund_or_etf,false,high,approved
etf05,etf,Fund Five Common Stock,false,true,3571,DE,10-K,10-Q,Nasdaq,current,0000000016,ETF05,Fund Five,excluded,fund_or_etf,false,high,approved
etf06,etf,Fund Six Common Stock,false,true,3571,DE,10-K,10-Q,Nasdaq,current,0000000017,ETF06,Fund Six,excluded,fund_or_etf,false,high,approved
etf07,etf,Fund Seven Common Stock,false,true,3571,DE,10-K,10-Q,Nasdaq,current,0000000018,ETF07,Fund Seven,excluded,fund_or_etf,false,high,approved
etf08,etf,Fund Eight Common Stock,false,true,3571,DE,10-K,10-Q,Nasdaq,current,0000000019,ETF08,Fund Eight,excluded,fund_or_etf,false,high,approved
etf09,etf,Fund Nine Common Stock,false,true,3571,DE,10-K,10-Q,Nasdaq,current,0000000020,ETF09,Fund Nine,excluded,fund_or_etf,false,high,approved
etf10,etf,Fund Ten Common Stock,false,true,3571,DE,10-K,10-Q,Nasdaq,current,0000000021,ETF10,Fund Ten,excluded,fund_or_etf,false,high,approved
etf11,etf,Fund Eleven Common Stock,false,true,3571,DE,10-K,10-Q,Nasdaq,current,0000000022,ETF11,Fund Eleven,excluded,fund_or_etf,false,high,approved
noncommon01,non-common,Acme Warrant,false,false,3571,DE,10-K,10-Q,Nasdaq,current,0000000023,NC01,Acme,excluded,non_common_security,false,high,approved
noncommon02,non-common,Acme Warrants,false,false,3571,DE,10-K,10-Q,Nasdaq,current,0000000024,NC02,Acme,excluded,non_common_security,false,high,approved
noncommon03,non-common,Acme Right,false,false,3571,DE,10-K,10-Q,Nasdaq,current,0000000025,NC03,Acme,excluded,non_common_security,false,high,approved
noncommon04,non-common,Acme Rights,false,false,3571,DE,10-K,10-Q,Nasdaq,current,0000000026,NC04,Acme,excluded,non_common_security,false,high,approved
noncommon05,non-common,Acme Preferred Stock,false,false,3571,DE,10-K,10-Q,Nasdaq,current,0000000027,NC05,Acme,excluded,non_common_security,false,high,approved
noncommon06,non-common,Acme 8% Preferred Series A,false,false,3571,DE,10-K,10-Q,Nasdaq,current,0000000028,NC06,Acme,excluded,non_common_security,false,high,approved
noncommon07,non-common,Acme Preferred Shares,false,false,3571,DE,10-K,10-Q,Nasdaq,current,0000000029,NC07,Acme,excluded,non_common_security,false,high,approved
noncommon08,non-common,Acme Depositary Share,false,false,3571,DE,10-K,10-Q,Nasdaq,current,0000000030,NC08,Acme,excluded,non_common_security,false,high,approved
noncommon09,non-common,Acme Depositary Shares,false,false,3571,DE,10-K,10-Q,Nasdaq,current,0000000031,NC09,Acme,excluded,non_common_security,false,high,approved
noncommon10,non-common,Acme Unit,false,false,3571,DE,10-K,10-Q,Nasdaq,current,0000000032,NC10,Acme,excluded,non_common_security,false,high,approved
noncommon11,non-common,Acme Units,false,false,3571,DE,10-K,10-Q,Nasdaq,current,0000000033,NC11,Acme,excluded,non_common_security,false,high,approved
investment01,investment,Investment Common Stock,false,false,3571,DE,10-K,N-1A,Nasdaq,current,0000000034,INV01,Investment,excluded,investment_company,false,high,approved
investment02,investment,Investment Common Stock,false,false,3571,DE,10-K,N-2,Nasdaq,current,0000000035,INV02,Investment,excluded,investment_company,false,high,approved
investment03,investment,Investment Common Stock,false,false,3571,DE,10-K,N-CSR,Nasdaq,current,0000000036,INV03,Investment,excluded,investment_company,false,high,approved
investment04,investment,Investment Common Stock,false,false,3571,DE,10-K,N-CSRS,Nasdaq,current,0000000037,INV04,Investment,excluded,investment_company,false,high,approved
investment05,investment,Investment Common Stock,false,false,3571,DE,10-K,485APOS,Nasdaq,current,0000000038,INV05,Investment,excluded,investment_company,false,high,approved
investment06,investment,Investment Common Stock,false,false,3571,DE,10-K,485BPOS,Nasdaq,current,0000000039,INV06,Investment,excluded,investment_company,false,high,approved
investment07,investment,Investment Common Stock,false,false,3571,DE,10-K,485BXT,Nasdaq,current,0000000040,INV07,Investment,excluded,investment_company,false,high,approved
investment08,investment,Investment Common Stock,false,false,3571,DE,10-K,485A24F,Nasdaq,current,0000000041,INV08,Investment,excluded,investment_company,false,high,approved
investment09,investment,Investment Common Stock,false,false,3571,DE,10-K,485POS,Nasdaq,current,0000000042,INV09,Investment,excluded,investment_company,false,high,approved
